,article_name,country,revision_id,article_quality,population
1,Gladys Lundwe,Zambia,757566606,Stub,17.7
2,Mwamba Luchembe,Zambia,764848643,Stub,17.7
3,Thandiwe Banda,Zambia,768166426,Start,17.7
4,Sylvester Chisembele,Zambia,776082926,C,17.7
5,Victoria Kalima,Zambia,776530837,Start,17.7
6,Margaret Mwanakatwe,Zambia,779747587,Start,17.7
7,Nkandu Luo,Zambia,779747961,Start,17.7
8,Susan Nakazwe,Zambia,779748181,Start,17.7
9,Catherine Namugala,Zambia,779748285,Start,17.7
10,Edith Nawakwi,Zambia,779748522,Start,17.7
11,Joyce Nonde-Simukoko,Zambia,779748628,Start,17.7
12,Gladys Nyirongo,Zambia,779748837,C,17.7
13,Vera Tembo,Zambia,779748931,C,17.7
14,Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,17.7
15,Besnat Jere,Zambia,791225634,Stub,17.7
16,Esther Lungu,Zambia,792296625,C,17.7
17,Inonge Wina,Zambia,794006130,Start,17.7
18,Maureen Mwanawasa,Zambia,795820299,Start,17.7
19,First Lady of Zambia,Zambia,796467991,Start,17.7
20,Jean Kapata,Zambia,797469872,Start,17.7
21,Peter Sinkamba,Zambia,799512628,Start,17.7
22,Gwendoline Konie,Zambia,803304465,Start,17.7
23,Kenneth Kaunda,Zambia,805875783,C,17.7
24,Inonge Mbikusita-Lewanika,Zambia,805993958,Start,17.7
25,Yobert K. Shamapande,Zambia,806345311,C,17.7
26,Bir I of Kanem,Chad,355319463,Stub,15.4
27,Abdullah II of Kanem,Chad,498683267,Stub,15.4
28,Salmama II of Kanem,Chad,565745353,Stub,15.4
29,Kuri I of Kanem,Chad,565745365,Stub,15.4
30,Mohammed I of Kanem,Chad,565745375,Stub,15.4
31,Kuri II of Kanem,Chad,669719757,Stub,15.4
32,Bir II of Kanem,Chad,670893206,Stub,15.4
33,Mahamat Hissene,Chad,693055898,Stub,15.4
34,Othman I,Chad,705432607,Stub,15.4
35,Alphonse Kotiga,Chad,707593108,Stub,15.4
36,Oueddei Kichidemi,Chad,708346649,Start,15.4
37,Dunama I,Chad,710675092,Stub,15.4
38,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,15.4
39,Djibrine Kerallah,Chad,712971263,Stub,15.4
40,Maurice Ngangtar,Chad,712971315,Stub,15.4
41,Idriss Miskine,Chad,712971738,Stub,15.4
42,Laoukein Kourayo Médard,Chad,716886170,Stub,15.4
43,Nadji Madou,Chad,716886788,Stub,15.4
44,Noël Milarew Odingar,Chad,716891799,Start,15.4
45,Yaya Dillo Djérou,Chad,717733209,Stub,15.4
46,Acheikh Ibn-Oumar,Chad,719821590,Start,15.4
47,Quatre Sou Quatre,Chad,720066754,Stub,15.4
48,Ali Gazi,Chad,722563340,Stub,15.4
49,Mahamat Djarma Khatir,Chad,725132042,Stub,15.4
50,Dunama IX Lefiami,Chad,731749611,Stub,15.4
51,Dawud of Kanem,Chad,736550266,Stub,15.4
52,Ahmed Koulamallah,Chad,738855197,Start,15.4
53,Abbo Nassour,Chad,741369486,B,15.4
54,Abdel Kader Baba-Laddé,Chad,742213176,Stub,15.4
55,Hummay,Chad,747271475,Stub,15.4
56,Ngarlejy Yorongar,Chad,751304544,C,15.4
57,Saleh Kezabo,Chad,751380073,Stub,15.4
58,Bourkou Louise Kabo,Chad,757072468,Start,15.4
59,Brahim Koulamallah,Chad,757802238,Stub,15.4
60,Saadie Goukouni Weddeye,Chad,757842614,Start,15.4
61,Mahamoud Adam Béchir,Chad,762579466,Start,15.4
62,Kalthouma Nguembang,Chad,762816132,Stub,15.4
63,Djidingar Dono Ngardoum,Chad,764133533,Stub,15.4
64,Template:ChadPMs,Chad,768123377,Stub,15.4
65,Template:ChadPres,Chad,770535091,Stub,15.4
66,Youssouf Saleh Abbas,Chad,771052289,B,15.4
67,Koibla Djimasta,Chad,774223245,Start,15.4
68,Nassour Guelendouksia Ouaido,Chad,774223248,C,15.4
69,Joseph Brahim Seid,Chad,777478442,Stub,15.4
70,Joseph Yodoyman,Chad,777550078,Start,15.4
71,Antoine Bangui,Chad,782638002,Start,15.4
72,Ibrahim IV of Bornu,Chad,785614014,Stub,15.4
73,Hadjé Halimé,Chad,786449636,C,15.4
74,Youssouf Togoïmi,Chad,787390241,Start,15.4
75,Adoum Younousmi,Chad,787719236,Start,15.4
76,François Tombalbaye,Chad,787738541,C,15.4
77,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,15.4
78,Ahmad Allam-Mi,Chad,787921293,Start,15.4
79,Laotegguelnodji Koumtog,Chad,788009613,Stub,15.4
80,Mahamat Ali Adoum,Chad,788014671,Start,15.4
81,Mahamat Saleh Annadif,Chad,788658822,C,15.4
82,Mohamed Bechir-Sow,Chad,788827248,Stub,15.4
83,Gontchomé Sahoulba,Chad,788828388,Start,15.4
