sub_region,PermitsCount
Adams,420
Columbia City,254
Minor,212
Atlantic,203
Greenwood,202
Fremont,190
North Beacon Hill,177
North Delridge,176
High Point,168
Broadway,158
Mid-Beacon Hill,155
Ravenna,150
University District,143
Wallingford,140
North Admiral,140
South Lake Union,113
West Queen Anne,112
North Queen Anne,109
Whittier Heights,105
Mount Baker,103
Lawton Park,102
Green Lake,101
Crown Hill,99
West Woodland,91
Gatewood,90
Wedgwood,90
Sunset Hill,90
North College Park,89
Stevens,88
Leschi,84
Genesee,83
Roosevelt,81
Phinney Ridge,80
Maple Leaf,80
Belltown,79
Loyal Heights,79
Alki,79
Mann,77
Fairmount Park,75
Rainier Beach,73
East Queen Anne,72
Haller Lake,72
Briarcliff,72
South Delridge,70
Brighton,66
Bryant,65
Cedar Park,64
Matthews Beach,63
Madison Park,63
Seward Park,61
Riverview,61
Windermere,57
Madrona,56
Lower Queen Anne,56
Georgetown,56
Fauntleroy,55
Olympic Hills,54
Eastlake,54
Seaview,53
Bitter Lake,52
Southeast Magnolia,49
South Beacon Hill,48
View Ridge,47
Laurelhurst,46
Interbay,44
Harrison/Denny-Blaine,41
Highland Park,41
Arbor Heights,40
Industrial District,37
North Beach/Blue Ridge,36
Broadview,34
Pinehurst,34
First Hill,34
Victory Heights,33
Montlake,30
Roxhill,25
South Park,25
Yesler Terrace,25
Westlake,22
Central Business District,20
Dunlap,18
Portage Bay,18
Meadowbrook,17
Rainier View,17
Pioneer Square,17
International District,17
Pike-Market,10
Sand Point,7
Holly Park,6
Harbor Island,3
